"Name","State","Notes","User","Tags","Created","Runtime","Sweep","C","classifier","degree_pol","descriptor","fisher","fisher_vector","kernel","level_pyramid","n_components","n_features","n_folds","n_words","scaler","step_size","algorithm","leaf_size","n_neighbors","p","AUC","accuracy","average_f1","average_precision","average_recall"
"curious-sweep-8","finished","-","luisgogu2001","","2023-12-27T13:22:04.000Z","2223","in76zude","10","svm","5","dense_sift","true","","poly","3","63","1024","5","134","true","25","","","","","0.9279322501991056","0.6555194988430498","0.6866725239935972","0.7157755568323614","0.6598907826151678"
"mild-sweep-6","finished","-","luisgogu2001","","2023-12-28T10:55:55.000Z","2843","hny0a3ht","0.001","svm","3","akaze","true","","poly","4","14","1024","5","158","true","","","","","","0.8150016972758236","0.5581960042891811","0.5894093702045671","0.631392482003461","0.5528848153034216"
"fallen-sweep-7","finished","-","luisgogu2001","","2023-12-27T12:52:25.000Z","1774","in76zude","100","svm","5","dense_sift","true","","precomputed","4","63","1024","5","176","true","40","","","","","0.9546250004508896","0.7512006885264406","0.7568187313914396","0.7568171032840428","0.7568404800503473"
"whole-sweep-10","finished","-","luisgogu2001","","2023-12-26T20:16:20.000Z","12592","qj04povw","0.01","svm","2","sift","true","","linear","4","16","1024","5","181","false","","","","","","0.5809859544614658","0.16107709238670356","0.16950958482118433","0.19645000767000392","0.15278856044293887"
"vocal-sweep-15","finished","-","luisgogu2001","","2023-12-30T07:33:35.000Z","1147","mvg8t7z3","0.1","logistic","","dense_sift","false","","","3","53","1024","5","192","false","5","","","","","0.9705315061076244","0.7783043625486765","0.779439837266436","0.7786259217821151","0.7802636897935397"
"golden-sweep-8","finished","-","luisgogu2001","","2023-12-29T08:57:09.000Z","48","mvg8t7z3","100","logistic","","dense_sift","false","","","1","64","1024","5","208","false","36","","","","","0.9588031651734162","0.7517410689090805","0.7551333858665201","0.7534053231177589","0.7568759190259293"
"bumbling-sweep-9","finished","-","luisgogu2001","","2023-12-26T20:14:16.000Z","122","qj04povw","1","svm","4","sift","false","","rbf","1","9","1024","5","218","true","","","","","","0.9092789708828796","0.5730882103956205","0.5888752502927865","0.6000616083289996","0.578184975683109"
"balmy-sweep-14","finished","-","luisgogu2001","","2023-12-30T07:03:41.000Z","1789","mvg8t7z3","0.1","logistic","","dense_sift","false","","","3","59","1024","5","223","true","4","","","","","0.9788457968943576","0.8171143969749985","0.8201999217466016","0.8208154314921344","0.8195998140967344"
"serene-sweep-4","finished","-","luisgogu2001","","2023-12-28T10:50:28.000Z","158","hny0a3ht","0.1","svm","4","akaze","false","","rbf","2","30","1024","5","232","false","","","","","","0.58235694670309","0.15523731587561376","0.033562599810715577","0.01940466448445172","0.125"
"splendid-sweep-5","finished","-","luisgogu2001","","2023-12-26T12:57:53.000Z","403","qj04povw","0.1","svm","4","sift","false","","precomputed","3","52","1024","5","232","false","","","","","","0.9443972679223002","0.673576386929285","0.6798825661470054","0.6825790022161252","0.6772769542406522"
"royal-sweep-3","finished","-","bycarkos","","2023-12-28T19:05:36.000Z","134","","","knn","","dense_sift","false","","","3","11","1024","5","234","false","13","kd_tree","17","1","2","0.7460232357517758","0.5555406625656075","0.5583733733304037","0.5582992877196571","0.5584716423570737"
"fearless-sweep-14","finished","-","luisgogu2001","","2023-12-28T02:37:33.000Z","590","in76zude","100","svm","5","dense_sift","true","","precomputed","1","54","1024","5","236","false","35","","","","","0.9671609149449216","0.770863197697387","0.7779748723041251","0.7851480841465281","0.7709450489898444"
"feasible-sweep-3","finished","-","luisgogu2001","","2023-12-26T11:42:25.000Z","121","qj04povw","1","svm","2","sift","false","","rbf","1","56","1024","5","239","true","","","","","","0.9415603515336828","0.6746261075681472","0.6795657817722056","0.6775913499588052","0.6815885104760907"
